Preprocessing Results:
Taper Ratio (lambda): 0.16667
Planform Area (S): 0.7875 m^2
Aspect Ratio (AR): 2.8571
Induced Drag Factor (k): 0.12518
    Alpha_deg    V_mps     Deltae_rad        CL          CD       Thrust_N    Power_W     CL_CD     CL32_CD 
    _________    ______    ___________    ________    ________    ________    _______    _______    ________

         0       104.66          0.025    0.006625    0.030005     158.52      16590     0.22079    0.017971
       0.5       48.841        0.01863    0.030419    0.030116     34.652     1692.4      1.0101     0.17616
         1       36.585       0.012259    0.054212    0.030368     19.606     717.29      1.7852     0.41565
       1.5       30.499      0.0058886    0.078006    0.030762     13.802     420.96      2.5358     0.70824
         2       26.698    -0.00048181      0.1018    0.031297      10.76     287.28      3.2527      1.0378
       2.5       24.037     -0.0068523     0.12559    0.031975     8.9106     214.18      3.9279       1.392
         3       22.039      -0.013223     0.14939    0.032794     7.6832     169.33      4.5554      1.7607
       3.5       20.469      -0.019593     0.17318    0.033754     6.8218     139.64      5.1306      2.1351
         4       19.193      -0.025964     0.19697    0.034857     6.1936     118.88       5.651       2.508
       4.5        18.13      -0.032334     0.22077    0.036101     5.7234     103.76      6.1153      2.8733
         5       17.225      -0.038705     0.24456    0.037487     5.3649     92.411      6.5239      3.2263
       5.5       16.444      -0.045075     0.26836    0.039015     5.0885     83.673      6.8783      3.5632
         6        15.76      -0.051445     0.29215    0.040684      4.874     76.814      7.1809      3.8813
       6.5       15.155      -0.057816     0.31594    0.042495     4.7076     71.343      7.4348       4.179
         7       14.615      -0.064186     0.33974    0.044448     4.5791     66.921      7.6434      4.4551
       7.5       14.128      -0.070557     0.36353    0.046543     4.4811     63.309      7.8107      4.7093
         8       13.687      -0.076927     0.38732    0.048779     4.4079     60.332      7.9403      4.9417
       8.5       13.285      -0.083298     0.41112    0.051157     4.3552     57.861      8.0363      5.1528
         9       12.917      -0.089668     0.43491    0.053677     4.3197     55.797      8.1024      5.3433
       9.5       12.577      -0.096039      0.4587    0.056339     4.2987     54.067      8.1419      5.5143
        10       12.263       -0.10241      0.4825    0.059142     4.2901     52.611      8.1583      5.6669
      10.5       11.972       -0.10878     0.50629    0.062087     4.2921     51.383      8.1545      5.8023
        11         11.7       -0.11515     0.53009    0.065174     4.3032     50.348      8.1334      5.9217
      11.5       11.446       -0.12152     0.55388    0.068402     4.3224     49.473      8.0974      6.0263
        12       11.208       -0.12789     0.57767    0.071773     4.3486     48.737      8.0486      6.1174
